热销排名,商品信息,所属店铺,支付子订单数,支付件数,支付转化率指数,店铺链接,日期：20170726,日期：20170727,日期：20170728,日期：20170729,日期：20170730,日期：20170731,日期：20170801,日期：20170802,日期：20170803,日期：20170804,日期：20170805,日期：20170806,日期：20170807,日期：20170808
424,【天天特价】韩高腰膝盖破洞牛仔裤女生九分裤弹力紧身小脚铅笔裤价格：286,优衣裤祺舰店,40,42,24,//shop144299115.taobao.com,,,,,,,,,,,,,,424
425,【今天特价】韩秋冬紧身弹力显瘦高腰铅笔九分裤黑色小脚牛仔裤女价格：298,玥兒莎,39,39,29,//weibo99.taobao.com,279,,,,,445,,,,,,,443,425
426,牛仔裤女九分裤高腰修身显瘦百搭长裤小脚裤侧边开叉铅笔裤休闲裤价格：39,小宅女大购物 xiaozhainv 小宅女家 xiao zhai nv,39,39,34,//zhainvjia.taobao.com,,,,,,,450,,458,483,,445,,426
427,3725 秋季新款韩版破洞毛边猫爪牛仔裤女黑色高弹力修身小脚裤潮价格：22.99,第六神话华玉美衣女装成衣性价比之王外贸批发零售,39,43,26,//thesixthmyths.taobao.com,,,,,,,,,,,,,,427
428,2017春装韩版女装高腰破洞牛仔裤女修身显瘦小脚铅笔裤乞丐九分裤价格：47,梦露日记时尚女装,39,39,16,//mengluriji.taobao.com,,415,415,,381,295,305,352,272,378,306,500,314,428
429,A＋B黑色牛仔裤女夏韩版高腰2017新款薄款九分裤小脚弹力铅笔显瘦价格：188,ab服饰旗舰店,39,39,22,//abfs.tmall.com,,,,,,431,376,417,315,224,210,467,341,436
430,夏薄款破洞牛仔裤女九分裤韩版高腰不规则毛边弹力显瘦小脚铅笔裤价格：159,时尚起义牛仔,39,41,12,//shop140964908.taobao.com,163,355,355,342,294,436,422,257,348,433,375,454,360,437
431,韩版高腰牛仔裤女夏小脚裤加长裤黑色大码胖mm显瘦弹力铅笔裤九分价格：128,蝴蝶女神Lucky goddess,39,39,33,//shop101570543.taobao.com,256,259,259,212,170,151,190,230,244,274,235,233,368,431
432,高腰牛仔短裤女宽松显瘦韩版学生百搭2017春夏季新款破洞阔腿热裤价格：126,雅来特旗舰店,39,39,28,//yalaite.tmall.com,403,363,363,469,422,421,,466,,428,473,388,432,432
433,ONLY2017夏装新品修身高腰含棉牛仔裤女|117132507价格：499,ONLY官方旗舰店,39,39,30,//only.tmall.com,,,,297,,453,,,,,,,,433
434,宽松破洞牛仔裤女九分裤显瘦烂乞丐裤韩版潮2017春夏季新款女裤子价格：198,雅来特旗舰店,39,39,20,//yalaite.tmall.com,,,,484,,350,,,437,484,442,497,497,476
435,2017新款牛仔裤女九分裤春夏季显瘦弹力高腰百搭小脚铅笔裤韩版潮价格：128,颜茹旗舰店,39,39,19,//yanru.tmall.com,294,363,363,386,402,453,380,392,375,420,408,439,350,435
436,牛仔裤女长裤显瘦小脚裤2017秋季新款韩版修身铅笔裤刺绣裤子女裤价格：139,娇宣尼旗舰店,38,38,28,//jiaoxuanni.tmall.com,,,,,,,,,,400,450,376,374,436
437,【地球店】给你大长腿！重工水洗手工装饰钉黑色毛边牛仔小短裤价格：368,AVIVA 地球店,38,38,16,//aviva-j.taobao.com,,192,192,296,304,310,227,363,224,265,297,288,302,437
438,kumayes 夏秋新款撕边缺口抓纹修身小脚裤韩版高腰显瘦牛仔九分裤价格：69,kumayes,38,38,13,//kumayes.taobao.com,,,,,,,,,,,,,,438
439,2017春夏季韩版破洞牛仔裤女黑色修身高腰长裤小脚铅笔显瘦九分裤价格：99,初牛旗舰店,38,38,34,//chuniu.tmall.com,,,,,,,,471,,,,,,439
440,2017春夏季新款黑色牛仔裤女韩版九分裤学生铅笔裤高腰小脚长裤子价格：99,本真之美旗舰店,38,38,26,//benzhenzhimei.tmall.com,,,,,,,,,,,,438,,445
