热销排名,商品信息,所属店铺,支付子订单数,交易增长幅度,支付转化率指数,日期：20170620,日期：20170621,日期：20170622,日期：20170623,日期：20170624,日期：20170625,日期：20170626
105,牛仔短裤女夏2017新款宽松韩版显瘦大码胖mm学生高腰破洞五分裤潮价格：269,曼茵服饰有限公司,375,0.1317,178,475,191,165,177,193,138,105
106,2017黑色新款破洞牛仔裤女春季韩版九分裤学生铅笔裤女高腰小脚裤价格：128,十翼旗舰店,373,-0.0858,174,235,126,116,103,93,107,106
107,2017春夏学院风韩版新款背带裤刺绣百搭可爱宽松背带九分裤大码女价格：158,音楚旗舰店,373,-0.1889,131,,,,,,84,107
108,牛仔短裤女夏季学生白色破洞毛边韩版宽松超短裤大码高腰阔腿热裤价格：100,罗塔依曼旗舰店,372,-0.0284,201,288,158,137,120,121,113,108
109,韩版复古chic风新款长裤侧边拉链高腰阔腿裤夏季宽松休闲裤牛仔裤价格：44,小宅女大购物 xiaozhainv 小宅女家 xiao zhai nv,369,0.0613,127,,338,264,314,242,123,109
110,牛仔短裤女2017夏新款韩版高腰显瘦a字裤子宽松阔腿热裤简约裤裙价格：298,fxdis旗舰店,369,-0.0489,155,35,73,77,87,122,111,110
111,玛玛绨2017夏装新款时尚减龄潮牌刺绣个性破洞牛仔背带裤女九分裤价格：538,maxmartin玛玛绨旗舰店,368,2.2046,116,,,,,,,111
112,春夏女装2017韩版个性百搭不规则破洞毛边牛仔短裤高腰显瘦阔腿裤价格：29.98,可可里小姐,364,0.1184,180,264,131,149,154,113,145,112
113,夏季新款高腰牛仔短裤女士松紧腰宽松四分裤a裤排扣大码收腹胖mm价格：199,狐卡尼网上商城,364,-0.0636,230,178,105,154,130,108,109,113
114,韩版chic学院风宽松显瘦浅色牛仔背带裤女学生休闲阔腿短裤连体裤价格：26.8,七格格女衣坊,363,-0.1624,178,289,197,212,159,128,96,114
115,天天特价夏季破洞牛仔裤女宽松九分裤韩版潮bf七分小脚垮裤哈伦裤价格：259,尚品牛仔坊,360,2.2672,90,,,,,,,115
116,夏装女装韩版基础款高腰宽松阔腿裤2017新款卷边短裤牛仔裤显瘦潮价格：29.88,可可里小姐,355,0.084,177,,299,194,160,156,139,116
117,短裤女夏2017新款韩版春季高腰修身显瘦学生百搭毛边破洞白色牛仔价格：99,梦希曼旗舰店,355,0.3813,179,205,,,,,208,117
118,牛仔短裤女夏季2017新款韩版百搭弹力磨破洞显瘦学生毛边热裤子潮价格：168,怜雪服饰旗舰店,349,0.097,202,257,152,146,151,142,152,118
119,2017夏季女装牛仔裤短裤女夏宽松阔腿背带裤吊带套装潮高腰裤子价格：218,伊姿丽都,348,5.1948,80,,,,,,,119
